,Delay OID,Description,Engine Stopped Flag,Field Notification Required Flag,Production Reporting Only Flag,Delay Class Name,Delay Class Category Name,Target Machine Name,Target Machine Class Name,Target Machine Class Description,Target Machine Class Category Name,Delay Start Timestamp (GMT8),Delay Finish Timestamp (GMT8),Delay Finish - Start
8456,10722501235,,N,N,Y,7470 Office Machine Lock (Single Truck),Unscheduled Process Down,DT5295,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,27-07-2020 14:48,27-07-2020 14:48,15
8457,10722501257,"C/O POS 1 & 2, ROTATE REARS",N,Y,N,3000_Scheduled_Maintenance,Scheduled Equipment Down,DT5266,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,27-07-2020 14:48,27-07-2020 20:25,20221
8458,10722501311,6021,N,Y,N,4020_Wait_on_Equipment,Unscheduled Process Down,DT5274,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,27-07-2020 14:48,27-07-2020 14:52,215
8459,10722501470,,N,N,Y,7470 Office Machine Lock (Single Truck),Unscheduled Process Down,DT5268,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,27-07-2020 14:49,27-07-2020 14:49,11
8460,10722503058,MACHINE GEN Started a delay: 4030_Road/Face/Bench_Preparation,N,N,Y,4030_Road/Face/Bench_Preparation,Unscheduled Process Down,EX8044,LBH R996B,Liebherr R996 B Series Shovel,Shovel Classes,27-07-2020 14:53,27-07-2020 14:55,128
8461,10722504100,MACHINE GEN Started a delay: 8000 Survey and Face Advance work,N,N,Y,8000 Survey and Face Advance work,Unscheduled Process Down,EX7154,LBH R9400,Liebherr R9400 Excavator,Shovel Classes,27-07-2020 14:56,27-07-2020 14:58,117
8462,10722504229,Daily Service,N,N,Y,2060_Relocation,Scheduled Process Down,EX8049,LBH R996B,Liebherr R996 B Series Shovel,Shovel Classes,27-07-2020 14:56,27-07-2020 15:01,319
8463,10722504696,,N,Y,Y,4020_Wait_on_Equipment,Unscheduled Process Down,DT5317,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,27-07-2020 14:56,27-07-2020 15:00,247
8464,10722513146,MACHINE GEN Started a delay: 4000_No_Operator,Y,Y,N,4000_No_Operator,Unscheduled Process Down,WL6301,Cat992K,Caterpillar 992 K Series Wheel Loader,Loader Classes,27-07-2020 15:01,27-07-2020 15:48,2870
8465,10722522547,MACHINE GEN Started a delay: 4030_Road/Face/Bench_Preparation,N,N,Y,4030_Road/Face/Bench_Preparation,Unscheduled Process Down,EX7021,LBH R9400,Liebherr R9400 Excavator,Shovel Classes,27-07-2020 15:06,27-07-2020 15:08,111
